Node Name,Op Type,Activation,Weights,Bias
/model.0/conv/Conv,Conv,UINT16,INT8,INT32
/model.0/act/Sigmoid,Sigmoid,UINT16,,
/model.0/act/Mul,Mul,UINT16,,
/model.1/conv/Conv,Conv,UINT16,INT8,INT32
/model.1/act/Sigmoid,Sigmoid,UINT16,,
/model.1/act/Mul,Mul,UINT16,,
/model.2/cv1/conv/Conv,Conv,UINT16,INT8,INT32
/model.2/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.2/cv1/act/Mul,Mul,UINT16,,
/model.2/Split_output_0_0,Slice,UINT16,,
/model.2/Split_output_1_1,Slice,UINT16,,
/model.2/m.0/cv1/conv/Conv,Conv,UINT16,INT8,INT32
/model.2/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.2/m.0/cv1/act/Mul,Mul,UINT16,,
/model.2/m.0/cv2/conv/Conv,Conv,UINT16,INT8,INT32
/model.2/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.2/m.0/cv2/act/Mul,Mul,UINT16,,
/model.2/m.0/Add,Add,UINT16,,
/model.2/Concat,Concat,UINT16,,
/model.2/cv2/conv/Conv,Conv,UINT16,INT8,INT32
/model.2/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.2/cv2/act/Mul,Mul,UINT16,,
/model.3/conv/Conv,Conv,UINT16,INT8,INT32
/model.3/act/Sigmoid,Sigmoid,UINT16,,
/model.3/act/Mul,Mul,UINT16,,
/model.4/cv1/conv/Conv,Conv,UINT16,INT8,INT32
/model.4/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.4/cv1/act/Mul,Mul,UINT16,,
/model.4/Split_output_0_0,Slice,UINT16,,
/model.4/Split_output_1_1,Slice,UINT16,,
/model.4/m.0/cv1/conv/Conv,Conv,UINT16,INT8,INT32
/model.4/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.0/cv1/act/Mul,Mul,UINT16,,
/model.4/m.0/cv2/conv/Conv,Conv,UINT16,INT8,INT32
/model.4/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.4/m.0/cv2/act/Mul,Mul,UINT16,,
/model.4/m.0/Add,Add,UINT16,,
/model.4/Concat,Concat,UINT16,,
/model.4/cv2/conv/Conv,Conv,UINT16,INT8,INT32
/model.4/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.4/cv2/act/Mul,Mul,UINT16,,
/model.5/conv/Conv,Conv,UINT16,INT8,INT32
/model.5/act/Sigmoid,Sigmoid,UINT16,,
/model.5/act/Mul,Mul,UINT16,,
/model.6/cv1/conv/Conv,Conv,UINT16,INT8,INT32
/model.6/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.6/cv1/act/Mul,Mul,UINT16,,
/model.6/Split_output_0_0,Slice,UINT16,,
